MMSI,일시,위도,경도,SOG,COG,Heading,거리
j2Oz4+HxcgBmC8a/DKDKfA==,2020-03-10 00:00:00,35.0252133333333,129.07632,0.1,346.4,317,6.640287875752929
pZgHcCQNxyoLdLOX4dhtFQ==,2020-03-10 00:00:00,35.09029,129.472071666667,0.9,19.9,146,37.282836100796594
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:00,35.0803233333333,129.003816666667,0.0,310.8,355,5.440707418018935
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:00:00,35.0774716666667,128.808603333333,0.1,305.3,270,23.23940235604533
j2Oz4+HxcgBmC8a/DKDKfA==,2020-03-10 00:00:00,35.0252133333333,129.07632,0.1,346.4,317,6.635503537021504
pZgHcCQNxyoLdLOX4dhtFQ==,2020-03-10 00:00:00,35.09029,129.472071666667,0.9,19.9,146,37.288732095190795
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:00,35.0803233333333,129.003816666667,0.0,310.8,355,5.434497420816342
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:00:00,35.0774716666667,128.808603333333,0.1,305.3,270,23.233450343731022
J9/C7dJeuSSHYKqz+eHZ4g==,2020-03-10 00:00:01,35.13218,129.5807,1.1,181.4,163,47.47722458764308
4KdQUtyGiO2kQ5R9N3Ol4w==,2020-03-10 00:00:01,35.0976666666667,129.065683333333,0.0,61.9,0,1.5320829219109524
re8aVtHSGuSR0ORXGufzkw==,2020-03-10 00:00:01,35.0804266666667,129.004098333333,0.1,0.0,511,5.408408625942017
uu30XIvAe9g4uvSQozBJNQ==,2020-03-10 00:00:01,34.9357,129.105133333333,0.4,183.6,142,16.89133815704748
tqw8sxkjzl4hK3OXFXSwZg==,2020-03-10 00:00:02,34.5670683333333,128.962921666667,1.0,170.8,309,58.11260496744381
YS+hKrEf8JrtYb652ltcMA==,2020-03-10 00:00:02,35.0257666666667,129.08225,0.0,236.0,350,6.7136289960667614
bv44fr2kkSVIMCRHkoRhlQ==,2020-03-10 00:00:02,35.08275,128.993183333333,0.0,128.9,187,6.417105100875466
RAb8Gy1WlpJNld1OqrEHHQ==,2020-03-10 00:00:03,35.082865,128.993091666667,0.0,235.6,511,6.401731086488609
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:03,35.0788383333333,128.99339,0.0,250.1,511,6.399452606215925
juA2dq+E82VLHPvupVGohg==,2020-03-10 00:00:03,35.1031433333333,129.059696666667,0.0,223.5,511,2.143971698102898
KveWBFM4U1kc1gEy0XGjiA==,2020-03-10 00:00:05,35.47584,129.402483333333,0.0,151.6,511,53.31067844387893
